isTs	is1stLast	prevCol	del.t	condName
FALSE	e	NA	NA	GSM1594270
FALSE	e	NA	NA	GSM1594271
FALSE	e	NA	NA	GSM1594272
FALSE	e	NA	NA	GSM1594273
FALSE	e	NA	NA	GSM1594274
FALSE	e	NA	NA	GSM1594275
FALSE	e	NA	NA	GSM1594276
FALSE	e	NA	NA	GSM1594277
FALSE	e	NA	NA	GSM1594278
FALSE	e	NA	NA	GSM1594279
FALSE	e	NA	NA	GSM1594280
FALSE	e	NA	NA	GSM1594281
FALSE	e	NA	NA	GSM1594282
FALSE	e	NA	NA	GSM1594283
FALSE	e	NA	NA	GSM1594284
FALSE	e	NA	NA	GSM1594285
FALSE	e	NA	NA	GSM1594286
FALSE	e	NA	NA	GSM1594287
FALSE	e	NA	NA	GSM1594288
FALSE	e	NA	NA	GSM1594289
FALSE	e	NA	NA	GSM1594290
FALSE	e	NA	NA	GSM1594291
FALSE	e	NA	NA	GSM1594292
FALSE	e	NA	NA	GSM1594293
FALSE	e	NA	NA	GSM1594294
FALSE	e	NA	NA	GSM1594295
FALSE	e	NA	NA	GSM1594296
FALSE	e	NA	NA	GSM1594297
FALSE	e	NA	NA	GSM1594298
FALSE	e	NA	NA	GSM1594299
FALSE	e	NA	NA	GSM1594300
FALSE	e	NA	NA	GSM1594301
FALSE	e	NA	NA	GSM1594302
FALSE	e	NA	NA	GSM1594303
FALSE	e	NA	NA	GSM1594304
FALSE	e	NA	NA	GSM1594305
FALSE	e	NA	NA	GSM1594306
FALSE	e	NA	NA	GSM1594307
FALSE	e	NA	NA	GSM1594308
FALSE	e	NA	NA	GSM1594309
FALSE	e	NA	NA	GSM1594310
FALSE	e	NA	NA	GSM1594311
FALSE	e	NA	NA	GSM1594312
FALSE	e	NA	NA	GSM1594313
FALSE	e	NA	NA	GSM1594314
FALSE	e	NA	NA	GSM1594315
FALSE	e	NA	NA	GSM1594316
FALSE	e	NA	NA	GSM1594317
FALSE	e	NA	NA	GSM1594318
FALSE	e	NA	NA	GSM1594319
FALSE	e	NA	NA	GSM1594320
FALSE	e	NA	NA	GSM1594321
FALSE	e	NA	NA	GSM1594322
FALSE	e	NA	NA	GSM1594323
FALSE	e	NA	NA	GSM1594324
FALSE	e	NA	NA	GSM1594325
FALSE	e	NA	NA	GSM1594326
FALSE	e	NA	NA	GSM1594327
FALSE	e	NA	NA	GSM1594328
FALSE	e	NA	NA	GSM1594329
FALSE	e	NA	NA	GSM1594330
FALSE	e	NA	NA	GSM1594331
FALSE	e	NA	NA	GSM1594332
FALSE	e	NA	NA	GSM1594333
FALSE	e	NA	NA	GSM1594334
FALSE	e	NA	NA	GSM1594335
FALSE	e	NA	NA	GSM1594336
FALSE	e	NA	NA	GSM1594337
FALSE	e	NA	NA	GSM1594338
FALSE	e	NA	NA	GSM1594339
FALSE	e	NA	NA	GSM1594340
FALSE	e	NA	NA	GSM1594341
FALSE	e	NA	NA	GSM1594342
FALSE	e	NA	NA	GSM1594343
FALSE	e	NA	NA	GSM1594344
FALSE	e	NA	NA	GSM1594345
FALSE	e	NA	NA	GSM1594346
FALSE	e	NA	NA	GSM1594347
FALSE	e	NA	NA	GSM1594348
FALSE	e	NA	NA	GSM1594349
