isTs	is1stLast	prevCol	del.t	condName
FALSE	e	NA	NA	GSM3428469
FALSE	e	NA	NA	GSM3428470
FALSE	e	NA	NA	GSM3428471
FALSE	e	NA	NA	GSM3428472
FALSE	e	NA	NA	GSM3428473
FALSE	e	NA	NA	GSM3428474
FALSE	e	NA	NA	GSM3428475
FALSE	e	NA	NA	GSM3428476
FALSE	e	NA	NA	GSM3428477
FALSE	e	NA	NA	GSM3428478
FALSE	e	NA	NA	GSM3428479
FALSE	e	NA	NA	GSM3428480
FALSE	e	NA	NA	GSM3428481
FALSE	e	NA	NA	GSM3428482
FALSE	e	NA	NA	GSM3428483
FALSE	e	NA	NA	GSM3428484
FALSE	e	NA	NA	GSM3428485
FALSE	e	NA	NA	GSM3428486
FALSE	e	NA	NA	GSM3428487
FALSE	e	NA	NA	GSM3428488
FALSE	e	NA	NA	GSM3428489
FALSE	e	NA	NA	GSM3428490
FALSE	e	NA	NA	GSM3428491
FALSE	e	NA	NA	GSM3428492
FALSE	e	NA	NA	GSM3428493
FALSE	e	NA	NA	GSM3428494
FALSE	e	NA	NA	GSM3428495
FALSE	e	NA	NA	GSM3428496
FALSE	e	NA	NA	GSM3428497
FALSE	e	NA	NA	GSM3428498
FALSE	e	NA	NA	GSM3428499
FALSE	e	NA	NA	GSM3428500
FALSE	e	NA	NA	GSM3428501
FALSE	e	NA	NA	GSM3428502
FALSE	e	NA	NA	GSM3428503
FALSE	e	NA	NA	GSM3428504
FALSE	e	NA	NA	GSM3428505
FALSE	e	NA	NA	GSM3428506
FALSE	e	NA	NA	GSM3428507
FALSE	e	NA	NA	GSM3428508
FALSE	e	NA	NA	GSM3428509
FALSE	e	NA	NA	GSM3428510
FALSE	e	NA	NA	GSM3428511
FALSE	e	NA	NA	GSM3428512
FALSE	e	NA	NA	GSM3428513
FALSE	e	NA	NA	GSM3428514
FALSE	e	NA	NA	GSM3428515
FALSE	e	NA	NA	GSM3428516
FALSE	e	NA	NA	GSM3428517
FALSE	e	NA	NA	GSM3428518
FALSE	e	NA	NA	GSM3428519
FALSE	e	NA	NA	GSM3428520
FALSE	e	NA	NA	GSM3428521
FALSE	e	NA	NA	GSM3428522
FALSE	e	NA	NA	GSM3428523
FALSE	e	NA	NA	GSM3428524
FALSE	e	NA	NA	GSM3428525
FALSE	e	NA	NA	GSM3428526
FALSE	e	NA	NA	GSM3428527
FALSE	e	NA	NA	GSM3428528
FALSE	e	NA	NA	GSM3428529
FALSE	e	NA	NA	GSM3428530
FALSE	e	NA	NA	GSM3428531
FALSE	e	NA	NA	GSM3428532
FALSE	e	NA	NA	GSM3428533
FALSE	e	NA	NA	GSM3428534
FALSE	e	NA	NA	GSM3428535
FALSE	e	NA	NA	GSM3428536
FALSE	e	NA	NA	GSM3428537
FALSE	e	NA	NA	GSM3428538
FALSE	e	NA	NA	GSM3428539
FALSE	e	NA	NA	GSM3428540
FALSE	e	NA	NA	GSM3428541
FALSE	e	NA	NA	GSM3428542
FALSE	e	NA	NA	GSM3428543
FALSE	e	NA	NA	GSM3428544
FALSE	e	NA	NA	GSM3428545
FALSE	e	NA	NA	GSM3428546
FALSE	e	NA	NA	GSM3428547
FALSE	e	NA	NA	GSM3428548
FALSE	e	NA	NA	GSM3428549
FALSE	e	NA	NA	GSM3428550
FALSE	e	NA	NA	GSM3428551
FALSE	e	NA	NA	GSM3428552
FALSE	e	NA	NA	GSM3428553
FALSE	e	NA	NA	GSM3428554
FALSE	e	NA	NA	GSM3428555
FALSE	e	NA	NA	GSM3428556
FALSE	e	NA	NA	GSM3428557
FALSE	e	NA	NA	GSM3428558
FALSE	e	NA	NA	GSM3428559
FALSE	e	NA	NA	GSM3428560
FALSE	e	NA	NA	GSM3428561
FALSE	e	NA	NA	GSM3428562
FALSE	e	NA	NA	GSM3428563
FALSE	e	NA	NA	GSM3428564
FALSE	e	NA	NA	GSM3428565
FALSE	e	NA	NA	GSM3428566
FALSE	e	NA	NA	GSM3428567
FALSE	e	NA	NA	GSM3428568
FALSE	e	NA	NA	GSM3428569
FALSE	e	NA	NA	GSM3428570
FALSE	e	NA	NA	GSM3428571
FALSE	e	NA	NA	GSM3428572
FALSE	e	NA	NA	GSM3428573
FALSE	e	NA	NA	GSM3428574
FALSE	e	NA	NA	GSM3428575
FALSE	e	NA	NA	GSM3428576
FALSE	e	NA	NA	GSM3428577
FALSE	e	NA	NA	GSM3428578
FALSE	e	NA	NA	GSM3428579
FALSE	e	NA	NA	GSM3428580
FALSE	e	NA	NA	GSM3428581
FALSE	e	NA	NA	GSM3428582
FALSE	e	NA	NA	GSM3428583
FALSE	e	NA	NA	GSM3428584
FALSE	e	NA	NA	GSM3428585
FALSE	e	NA	NA	GSM3428586
FALSE	e	NA	NA	GSM3428587
FALSE	e	NA	NA	GSM3428588
FALSE	e	NA	NA	GSM3428589
FALSE	e	NA	NA	GSM3428590
FALSE	e	NA	NA	GSM3428591
FALSE	e	NA	NA	GSM3428592
FALSE	e	NA	NA	GSM3428593
FALSE	e	NA	NA	GSM3428594
FALSE	e	NA	NA	GSM3428595
FALSE	e	NA	NA	GSM3428596
FALSE	e	NA	NA	GSM3428597
FALSE	e	NA	NA	GSM3428598
FALSE	e	NA	NA	GSM3428599
FALSE	e	NA	NA	GSM3428600
FALSE	e	NA	NA	GSM3428601
FALSE	e	NA	NA	GSM3428602
FALSE	e	NA	NA	GSM3428603
FALSE	e	NA	NA	GSM3428604
FALSE	e	NA	NA	GSM3428605
FALSE	e	NA	NA	GSM3428606
FALSE	e	NA	NA	GSM3428607
FALSE	e	NA	NA	GSM3428608
FALSE	e	NA	NA	GSM3428609
FALSE	e	NA	NA	GSM3428610
FALSE	e	NA	NA	GSM3428611
FALSE	e	NA	NA	GSM3428612
FALSE	e	NA	NA	GSM3428613
FALSE	e	NA	NA	GSM3428614
FALSE	e	NA	NA	GSM3428615
FALSE	e	NA	NA	GSM3428616
FALSE	e	NA	NA	GSM3428617
FALSE	e	NA	NA	GSM3428618
FALSE	e	NA	NA	GSM3428619
FALSE	e	NA	NA	GSM3428620
FALSE	e	NA	NA	GSM3428621
